time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-06T10:03:37.036Z,12.2567,-88.0043,42.753,4.6,mb,58,129,1.055,1.14,us,us6000k2c2,2023-04-06T10:22:47.040Z,"off the coast of Central America",earthquake,8.01,9.654,0.048,127,reviewed,us,us
2023-04-06T06:39:06.499Z,11.6502,-85.7939,10,5.1,mww,74,129,0.666,0.72,us,us6000k2b0,2023-04-07T15:44:58.608Z,"16 km NW of Moyogalpa, Nicaragua",earthquake,3.14,1.622,0.047,43,reviewed,us,us
2023-04-06T04:10:18.685Z,44.4223,147.8535,82.056,4.9,mb,82,74,3.791,0.54,us,us6000k2ai,2023-04-07T04:44:06.040Z,"Kuril Islands",earthquake,9.34,5.528,0.025,488,reviewed,us,us
2023-04-06T03:21:40.190Z,-35.5307,-109.13,10,5.1,mb,61,42,29.304,0.57,us,us6000k2ae,2023-04-07T04:25:44.040Z,"southern East Pacific Rise",earthquake,13.26,1.811,0.035,260,reviewed,us,us
2023-04-06T02:29:14.702Z,-39.3573,-15.9284,10,4.6,mb,14,97,33.062,0.56,us,us6000k2al,2023-04-07T03:21:51.040Z,"Tristan da Cunha region",earthquake,10,1.927,0.158,14,reviewed,us,us
2023-04-06T00:32:02.986Z,-0.4926,122.2314,10,5.2,mww,55,75,0.768,0.55,us,us6000k29k,2023-04-06T00:49:07.040Z,"80 km NW of Luwuk, Indonesia",earthquake,6.53,1.852,0.098,10,reviewed,us,us
2023-04-05T19:30:47.864Z,-2.6316,68.0649,10,4.5,mb,71,58,6.453,0.63,us,us6000k27p,2023-04-06T22:23:54.040Z,"Carlsberg Ridge",earthquake,9.61,1.856,0.072,60,reviewed,us,us
2023-04-05T14:33:49.581Z,-18.1698,-178.8696,555.349,4.9,mb,91,44,3.907,0.76,us,us6000k25r,2023-04-05T14:48:38.040Z,"192 km E of Levuka, Fiji",earthquake,10.72,8.133,0.069,69,reviewed,us,us
2023-04-05T11:25:04.071Z,-4.5559,-75.5913,11.863,4.6,mb,48,114,3.894,0.77,us,us6000k24y,2023-04-05T11:49:34.040Z,"74 km N of Lagunas, Peru",earthquake,9.92,4.774,0.09,37,reviewed,us,us
2023-04-05T11:14:24.282Z,-28.585,-177.8026,10,4.8,mb,22,69,0.667,0.99,us,us6000k252,2023-04-05T12:00:17.040Z,"Kermadec Islands region",earthquake,9.31,1.902,0.131,18,reviewed,us,us
2023-04-05T08:05:56.516Z,-21.3749,169.7319,58.598,4.9,mb,44,72,2.453,0.7,us,us6000k23a,2023-04-05T08:26:02.040Z,"192 km E of Tadine, New Caledonia",earthquake,7.02,5.781,0.078,52,reviewed,us,us
2023-04-05T06:19:28.869Z,-9.4082,-71.4487,553.605,5.1,mb,95,59,2.079,0.82,us,us6000k22u,2023-04-05T06:37:46.040Z,"156 km ESE of Marechal Thaumaturgo, Brazil",earthquake,11.09,7.343,0.021,715,reviewed,us,us
2023-04-05T02:57:31.836Z,-22.5969,-174.425,10,4.9,mb,26,97,1.594,0.36,us,us6000k21z,2023-04-07T02:39:12.040Z,"Tonga region",earthquake,7.65,1.702,0.132,18,reviewed,us,us
2023-04-05T01:37:17.775Z,40.6142,83.9591,10.023,4.6,mb,16,245,4.298,0.88,us,us6000k21b,2023-04-07T02:14:02.040Z,"149 km SE of Kuqa, China",earthquake,11.98,9.264,0.315,3,reviewed,us,us
2023-04-05T01:20:54.397Z,-14.1722,167.2822,201.838,4.6,mb,33,199,1.27,0.43,us,us6000k218,2023-04-07T02:12:13.040Z,"43 km SW of Sola, Vanuatu",earthquake,14.59,9.259,0.101,29,reviewed,us,us
2023-04-05T01:01:21.954Z,-4.3982,143.2113,96.717,4.6,mb,45,62,6.332,0.49,us,us6000k212,2023-04-06T05:02:10.596Z,"47 km ESE of Ambunti, Papua New Guinea",earthquake,9.82,7.758,0.066,69,reviewed,us,us
2023-04-04T22:18:12.605Z,7.5834,-82.3214,12.966,6.3,mww,113,63,1.286,0.89,us,us6000k20g,2023-04-10T15:38:57.888Z,"71 km S of Boca Chica, Panama",earthquake,6.03,1.928,0.051,37,reviewed,us,us
2023-04-04T19:08:46.490Z,-27.43,-71.0252,47.903,5.9,mww,171,40,0.601,1.19,us,us6000k1zt,2023-04-06T20:28:33.023Z,"68 km W of Copiapó, Chile",earthquake,3.25,3.356,0.044,50,reviewed,us,us
2023-04-04T17:48:33.321Z,13.7723,125.4109,10,4.5,mb,84,91,6.663,0.76,us,us6000k1zm,2023-04-04T18:43:00.040Z,"Philippine Islands region",earthquake,10.04,1.856,0.057,97,reviewed,us,us
2023-04-04T17:17:43.625Z,9.0616,93.9377,13.821,5,mww,116,49,2.833,0.78,us,us6000k1zc,2023-04-04T18:00:48.040Z,"Nicobar Islands, India region",earthquake,6.52,3.473,0.098,10,reviewed,us,us
2023-04-04T16:27:07.294Z,34.2696,8.0273,10,5,mb,133,35,6.369,0.68,us,us6000k1z0,2023-04-05T04:23:19.613Z,"10 km ESE of Chebika, Tunisia",earthquake,6.44,1.809,0.046,154,reviewed,us,us
2023-04-04T15:59:13.851Z,38.0556,74.2375,166.456,4.6,mb,115,35,2.377,0.77,us,us6000k1yv,2023-04-04T17:11:15.040Z,"26 km ESE of Murghob, Tajikistan",earthquake,7.41,3.375,0.043,160,reviewed,us,us
2023-04-04T15:15:43.144Z,42.814,144.9514,74.749,4.6,mb,78,101,1.55,0.59,us,us6000k1yq,2023-04-04T16:38:15.040Z,"50 km ESE of Kushiro, Japan",earthquake,4.78,6.536,0.057,92,reviewed,us,us
2023-04-04T14:43:29.332Z,13.7153,125.4613,10,4.7,mb,75,119,6.605,0.7,us,us6000k1xu,2023-04-04T15:28:54.040Z,"116 km E of Gigmoto, Philippines",earthquake,7.43,1.83,0.067,67,reviewed,us,us
2023-04-04T13:35:24.490Z,-3.1159,-75.7143,134.34,4.8,mb,114,58,2.816,0.94,us,us6000k1xe,2023-04-04T14:16:41.040Z,"89 km ENE of Alianza Cristiana, Peru",earthquake,7.8,3.5,0.033,289,reviewed,us,us
2023-04-04T12:54:32.603Z,13.7533,125.5404,15.027,6.2,mww,158,36,6.642,0.53,us,us6000k1x2,2023-04-05T13:02:33.042Z,"124 km E of Gigmoto, Philippines",earthquake,7.85,3.707,0.04,59,reviewed,us,us
2023-04-04T09:27:12.030Z,-15.6072,168.0436,10,4.7,mb,33,129,0.826,0.99,us,us6000k1wb,2023-04-04T10:24:31.040Z,"85 km NE of Norsup, Vanuatu",earthquake,4.64,1.896,0.085,44,reviewed,us,us
2023-04-04T07:07:30.533Z,27.0852,141.4644,111.838,4.9,mb,68,121,6.178,0.97,us,us6000k1vu,2023-04-04T10:51:35.040Z,"Bonin Islands, Japan region",earthquake,10.97,7.384,0.038,231,reviewed,us,us
